Employee ID,Date,Checkin,CheckOut,BiometricCheckIn,BiometricCheckOut,GrossHours,IsHoliday,IsWeekend
PSA-008,28/11/2025,,,,,,0,0
PSA-008,29/11/2025,,,,,,0,1
PSA-008,30/11/2025,,,,,,0,1
PSA-008,01/12/2025,28:00.0,04:00.0,28:41.0,04:48.0,6.6,0,0
PSA-008,02/12/2025,,,,,,0,0
PSA-008,03/12/2025,41:00.0,19:00.0,45:44.0,19:16.0,4.633333,0,0
PSA-008,04/12/2025,,,,,,0,0
PSA-008,05/12/2025,,,,,,0,0
PSA-008,06/12/2025,,,,,,0,1
PSA-008,07/12/2025,,,,,,0,1
PSA-008,08/12/2025,22:00.0,22:00.0,22:58.0,22:21.0,7,0,0
PSA-008,09/12/2025,,,,,,0,0
PSA-008,10/12/2025,57:00.0,,,,,0,0
PSA-008,11/12/2025,03:00.0,10:00.0,03:38.0,10:53.0,7.116666,0,0
PSA-008,12/12/2025,22:00.0,24:00.0,22:22.0,24:04.0,6.033333,0,0
PSA-008,13/12/2025,,,,,,0,1
PSA-008,14/12/2025,,,,,,0,1
PSA-008,15/12/2025,45:00.0,18:00.0,45:53.0,18:51.0,5.55,0,0
PSA-008,16/12/2025,27:00.0,54:00.0,27:46.0,54:10.0,6.45,0,0
PSA-008,17/12/2025,,,,,,0,0
PSA-008,18/12/2025,,,,,,0,0
PSA-008,19/12/2025,11:00.0,16:00.0,11:48.0,16:12.0,4.083333,0,0
PSA-008,20/12/2025,,,,,,0,1
PSA-008,21/12/2025,,,,,,0,1
PSA-008,22/12/2025,,,,,,0,0
PSA-008,23/12/2025,23:00.0,59:00.0,23:52.0,59:19.0,5.6,0,0
PSA-008,24/12/2025,05:00.0,,,,,0,0
PSA-008,25/12/2025,,,,,,1,0
PSA-008,26/12/2025,,,,,,0,0
PSA-008,27/12/2025,,,,,,0,1
PSA-008,28/12/2025,,,,,,0,1
PSA-008,29/12/2025,,,,,,0,0
PSA-008,30/12/2025,,,,,,0,0
PSA-008,31/12/2025,,,,,,0,0
PSA-008,01/01/2026,,,,,,1,0
PSA-008,02/01/2026,52:00.0,,,,,0,0
PSA-008,03/01/2026,,,,,,0,1
PSA-008,04/01/2026,,,,,,0,1
PSA-008,05/01/2026,05:00.0,10:00.0,05:41.0,10:13.0,5.083333,0,0
PSA-008,06/01/2026,,,,,,0,0
PSA-008,07/01/2026,40:00.0,37:00.0,40:43.0,37:09.0,4.95,0,0
PSA-008,08/01/2026,34:00.0,47:00.0,34:28.0,47:08.0,6.216666,0,0
PSA-008,09/01/2026,,,,,,0,0
PSA-008,10/01/2026,,,,,,0,1
PSA-008,11/01/2026,,,,,,0,1
PSA-008,12/01/2026,15:00.0,00:00.0,15:35.0,00:07.0,5.75,0,0
PSA-008,13/01/2026,19:00.0,,,,,0,0
PSA-008,14/01/2026,,,,,,0,0
PSA-008,15/01/2026,23:00.0,02:00.0,23:04.0,02:05.0,7.65,0,0
PSA-008,16/01/2026,,,,,,0,0
PSA-008,17/01/2026,,,,,,0,1
PSA-008,18/01/2026,,,,,,0,1
PSA-008,19/01/2026,44:00.0,02:00.0,44:27.0,02:28.0,7.3,0,0
PSA-008,20/01/2026,22:00.0,14:00.0,22:52.0,14:28.0,5.866666,0,0
PSA-008,21/01/2026,,,,,,0,0
PSA-008,22/01/2026,26:00.0,21:00.0,26:03.0,21:56.0,6.916666,0,0
PSA-008,23/01/2026,,,,,,0,0
PSA-008,24/01/2026,,,,,,0,1
PSA-008,25/01/2026,,,,,,0,1
PSA-008,26/01/2026,,,,,,1,0
PSA-008,27/01/2026,,,,,,0,0
PSA-008,28/01/2026,00:00.0,26:00.0,00:22.0,50:55.0,9.433333,0,0
PSA-008,29/01/2026,12:00.0,58:00.0,,,9.766666,0,0
PSA-008,30/01/2026,46:00.0,44:00.0,46:44.0,44:19.0,7.966666,0,0
PSA-008,31/01/2026,,,,,,0,1
PSA-008,01/02/2026,,,,,,0,1
PSA-008,02/02/2026,,,,,,0,0
PSA-008,03/02/2026,22:00.0,50:00.0,22:03.0,50:47.0,5.466666,0,0
PSA-008,04/02/2026,59:00.0,03:00.0,59:47.0,03:27.0,5.066666,0,0
PSA-008,05/02/2026,01:00.0,,,,,0,0
PSA-008,06/02/2026,30:00.0,03:00.0,,,6.55,0,0
PSA-008,07/02/2026,,,,,,0,1
PSA-008,08/02/2026,,,,,,0,1
PSA-008,09/02/2026,44:00.0,53:00.0,44:34.0,53:08.0,5.15,0,0
PSA-008,10/02/2026,08:00.0,,,,,0,0
PSA-008,11/02/2026,53:00.0,26:00.0,53:54.0,26:53.0,5.55,0,0
PSA-008,12/02/2026,42:00.0,08:00.0,42:58.0,08:53.0,8.433333,0,0
PSA-008,13/02/2026,,,,,,0,0
PSA-008,14/02/2026,46:00.0,,46:10.0,46:10.0,,0,1
PSA-008,15/02/2026,,,,,,0,1
PSA-008,16/02/2026,,,,,,0,0
PSA-008,17/02/2026,46:00.0,,,,,0,0
PSA-008,18/02/2026,58:00.0,37:00.0,58:16.0,37:17.0,5.65,0,0
PSA-008,19/02/2026,56:00.0,23:00.0,56:24.0,23:55.0,6.45,0,0
PSA-008,20/02/2026,23:00.0,,,,,0,0
PSA-008,21/02/2026,,,,,,0,1
PSA-008,22/02/2026,,,,,,0,1
PSA-008,23/02/2026,52:00.0,00:00.0,52:28.0,00:56.0,4.133333,0,0
PSA-008,24/02/2026,,,,,,0,0
PSA-008,25/02/2026,03:00.0,45:00.0,03:32.0,45:56.0,4.7,0,0
PSA-008,26/02/2026,25:00.0,31:00.0,25:25.0,31:29.0,5.1,0,0
PSA-008,27/02/2026,15:00.0,,,,,0,0
PSA-008,28/02/2026,,,,,,0,1
PSA-008,01/03/2026,,,,,,0,1
PSA-008,02/03/2026,25:00.0,49:00.0,25:23.0,49:32.0,4.4,0,0
PSA-008,03/03/2026,,,,,,0,0
PSA-008,04/03/2026,,,,,,1,0
PSA-008,05/03/2026,,,,,,0,0
PSA-008,06/03/2026,42:00.0,19:00.0,42:58.0,19:45.0,5.616666,0,0
PSA-008,07/03/2026,,,,,,0,1
PSA-008,08/03/2026,,,,,,0,1
PSA-008,09/03/2026,,,,,,0,0
PSA-008,10/03/2026,17:00.0,05:00.0,17:11.0,05:47.0,5.8,0,0
PSA-008,11/03/2026,13:00.0,,,,,0,0
PSA-008,12/03/2026,,,,,,0,0
PSA-008,13/03/2026,06:00.0,,,,,0,0
PSA-008,14/03/2026,,,,,,0,1
PSA-008,15/03/2026,,,,,,0,1
PSA-008,16/03/2026,32:00.0,17:00.0,32:21.0,17:54.0,3.75,0,0
PSA-008,17/03/2026,,,,,,0,0
PSA-008,18/03/2026,35:00.0,,,,,0,0
PSA-008,19/03/2026,,,,,,0,0
PSA-008,20/03/2026,,,,,,1,0
PSA-008,21/03/2026,,,,,,0,1
PSA-008,22/03/2026,,,,,,0,1
PSA-008,23/03/2026,,,,,,0,0
PSA-008,24/03/2026,57:00.0,08:00.0,57:04.0,08:19.0,5.183333,0,0
PSA-008,25/03/2026,27:00.0,37:00.0,27:34.0,37:33.0,8.166666,0,0
PSA-001,01/10/2025,,,,,,0,0
PSA-001,02/10/2025,,,,,,1,0
PSA-001,03/10/2025,,,,,,0,0
PSA-001,04/10/2025,,,,,,0,1
PSA-001,05/10/2025,,,,,,0,1
PSA-001,06/10/2025,,,,,,0,0
PSA-001,07/10/2025,17:00.0,02:00.0,17:27.0,02:14.0,8.75,0,0
PSA-001,08/10/2025,20:00.0,25:00.0,20:47.0,25:10.0,10.083333,0,0
PSA-001,09/10/2025,,,,,,0,0
PSA-001,10/10/2025,12:00.0,35:00.0,12:25.0,35:23.0,5.383333,0,0
PSA-001,11/10/2025,22:00.0,04:00.0,21:50.0,04:19.0,3.7,0,1
PSA-001,12/10/2025,,,,,,0,1
PSA-001,13/10/2025,25:00.0,37:00.0,25:15.0,37:25.0,10.2,0,0
PSA-001,14/10/2025,27:00.0,51:00.0,27:42.0,51:15.0,11.4,0,0
PSA-001,15/10/2025,53:00.0,06:00.0,53:19.0,06:26.0,7.216666,0,0
PSA-001,16/10/2025,18:00.0,01:00.0,18:29.0,01:50.0,11.716666,0,0
PSA-001,17/10/2025,,,,,,0,0
PSA-001,18/10/2025,14:00.0,59:00.0,14:50.0,59:54.0,0.75,0,1
PSA-001,19/10/2025,,,,,,0,1
PSA-001,20/10/2025,,,,,,1,0
PSA-001,21/10/2025,,,,,,0,0
PSA-001,22/10/2025,,,,,,0,0
PSA-001,23/10/2025,,,,,,0,0
PSA-001,24/10/2025,,,,,,0,0
PSA-001,25/10/2025,,,,,,0,1
PSA-001,26/10/2025,,,,,,0,1
PSA-001,27/10/2025,,,,,,0,0
PSA-001,28/10/2025,30:00.0,59:00.0,30:53.0,59:45.0,6.483333,0,0
PSA-001,29/10/2025,12:00.0,53:00.0,12:32.0,53:22.0,1.683333,0,0
PSA-001,30/10/2025,05:00.0,37:00.0,05:33.0,37:50.0,7.533333,0,0
PSA-001,31/10/2025,,,,,,0,0
PSA-001,01/11/2025,,,,,,0,1
PSA-001,02/11/2025,,,,,,0,1
PSA-001,03/11/2025,42:00.0,57:00.0,42:31.0,57:04.0,8.25,0,0
PSA-001,04/11/2025,42:00.0,08:00.0,42:54.0,08:13.0,5.433333,0,0
PSA-001,05/11/2025,,,,,,1,0
PSA-001,06/11/2025,10:00.0,27:00.0,10:20.0,27:24.0,9.283333,0,0
PSA-001,07/11/2025,53:00.0,06:00.0,53:34.0,06:15.0,8.216666,0,0
PSA-001,08/11/2025,,,,,,0,1
PSA-001,09/11/2025,,,,,,0,1
PSA-001,10/11/2025,38:00.0,31:00.0,38:09.0,31:32.0,7.883333,0,0
PSA-001,11/11/2025,31:00.0,25:00.0,31:39.0,25:21.0,9.9,0,0
PSA-001,12/11/2025,21:00.0,26:00.0,21:30.0,26:56.0,4.083333,0,0
PSA-001,13/11/2025,30:00.0,54:00.0,30:44.0,54:23.0,9.4,0,0
PSA-001,14/11/2025,57:00.0,37:00.0,57:29.0,37:39.0,6.666666,0,0
PSA-001,15/11/2025,,,,,,0,1
PSA-001,16/11/2025,,,,,,0,1
PSA-001,17/11/2025,52:00.0,58:00.0,52:56.0,58:10.0,8.1,0,0
PSA-001,18/11/2025,,,,,,0,0
PSA-001,19/11/2025,,,,,,0,0
PSA-001,20/11/2025,45:00.0,09:00.0,45:46.0,09:41.0,9.4,0,0
PSA-001,21/11/2025,,,,,,0,0
PSA-001,22/11/2025,,,,,,0,1
PSA-001,23/11/2025,,,,,,0,1
PSA-001,24/11/2025,11:00.0,26:00.0,11:17.0,26:18.0,9.25,0,0
PSA-001,25/11/2025,17:00.0,40:00.0,17:04.0,40:44.0,10.383333,0,0
PSA-001,26/11/2025,15:00.0,04:00.0,15:27.0,04:23.0,10.816666,0,0
PSA-001,27/11/2025,02:00.0,32:00.0,02:41.0,32:10.0,8.5,0,0
PSA-001,28/11/2025,12:00.0,16:00.0,12:19.0,16:01.0,2.066666,0,0
PSA-001,29/11/2025,,,,,,0,1
PSA-001,30/11/2025,,,,,,0,1
PSA-001,01/12/2025,,,,,,0,0
PSA-001,02/12/2025,,,,,,0,0
PSA-001,03/12/2025,,,,,,0,0
PSA-001,04/12/2025,23:00.0,38:00.0,23:18.0,38:27.0,4.25,0,0
PSA-001,05/12/2025,,,,,,0,0
PSA-001,06/12/2025,,,,,,0,1
PSA-001,07/12/2025,,,,,,0,1
PSA-001,08/12/2025,,,,,,0,0
PSA-001,09/12/2025,10:00.0,35:00.0,10:17.0,35:56.0,8.416666,0,0
PSA-001,10/12/2025,50:00.0,40:00.0,50:15.0,40:51.0,6.833333,0,0
PSA-001,11/12/2025,,,,,,0,0
PSA-001,12/12/2025,54:00.0,56:00.0,54:51.0,56:58.0,9.033333,0,0
PSA-001,13/12/2025,,,,,,0,1
PSA-001,14/12/2025,,,,,,0,1
PSA-001,15/12/2025,45:00.0,56:00.0,45:40.0,56:55.0,7.183333,0,0
PSA-001,16/12/2025,,,,,,0,0
PSA-001,17/12/2025,21:00.0,37:00.0,21:44.0,37:19.0,7.266666,0,0
PSA-001,18/12/2025,36:00.0,06:00.0,36:05.0,06:50.0,6.5,0,0
PSA-001,19/12/2025,,,,,,0,0
PSA-001,20/12/2025,,,,,,0,1
PSA-001,21/12/2025,,,,,,0,1
PSA-001,22/12/2025,54:00.0,13:00.0,54:25.0,13:55.0,7.316666,0,0
PSA-001,23/12/2025,30:00.0,00:00.0,30:19.0,00:13.0,7.5,0,0
PSA-001,24/12/2025,09:00.0,,,,,0,0
PSA-001,25/12/2025,,,,,,1,0
PSA-001,26/12/2025,,,,,,0,0
PSA-001,27/12/2025,,,,,,0,1
PSA-001,28/12/2025,,,,,,0,1
PSA-001,29/12/2025,,,,,,0,0
PSA-001,30/12/2025,,,,,,0,0
PSA-001,31/12/2025,,,,,,0,0
PSA-001,01/01/2026,,,,,,1,0
PSA-001,02/01/2026,,,,,,0,0
PSA-001,03/01/2026,15:00.0,45:00.0,15:52.0,45:37.0,0.5,0,1
PSA-001,04/01/2026,,,,,,0,1
PSA-001,05/01/2026,,,,,,0,0
PSA-001,06/01/2026,27:00.0,02:00.0,27:19.0,02:26.0,10.583333,0,0
PSA-001,07/01/2026,12:00.0,02:00.0,12:04.0,02:29.0,8.833333,0,0
PSA-001,08/01/2026,,,,,,0,0
PSA-001,09/01/2026,59:00.0,16:00.0,59:09.0,16:39.0,4.283333,0,0
PSA-001,10/01/2026,,,,,,0,1
PSA-001,11/01/2026,,,,,,0,1
PSA-001,12/01/2026,12:00.0,49:00.0,12:12.0,49:01.0,8.616666,0,0
PSA-001,13/01/2026,10:00.0,42:00.0,10:28.0,42:16.0,6.533333,0,0
PSA-001,14/01/2026,28:00.0,20:00.0,28:21.0,20:41.0,3.866666,0,0
PSA-001,15/01/2026,,,,,,0,0
PSA-001,16/01/2026,36:00.0,59:00.0,36:24.0,59:05.0,9.383333,0,0
PSA-001,17/01/2026,,,,,,0,1
PSA-001,18/01/2026,,,,,,0,1
PSA-001,19/01/2026,52:00.0,01:00.0,52:28.0,01:38.0,6.15,0,0
PSA-001,20/01/2026,23:00.0,15:00.0,23:02.0,15:51.0,5.866666,0,0
PSA-001,21/01/2026,47:00.0,49:00.0,47:51.0,49:01.0,12.033333,0,0
PSA-001,22/01/2026,,,,,,0,0
PSA-001,23/01/2026,,,,,,0,0
PSA-001,24/01/2026,,,,,,0,1
PSA-001,25/01/2026,,,,,,0,1
PSA-001,26/01/2026,,,,,,1,0
PSA-001,27/01/2026,,,,,,0,0
PSA-001,28/01/2026,,,,,,0,0
PSA-001,29/01/2026,,,,,,0,0
PSA-001,30/01/2026,16:00.0,26:00.0,16:52.0,26:07.0,4.166666,0,0
PSA-001,31/01/2026,,,,,,0,1
PSA-001,01/02/2026,,,,,,0,1
PSA-001,02/02/2026,,,,,,0,0
PSA-001,03/02/2026,,,,,,0,0
PSA-001,04/02/2026,,,,,,0,0
PSA-001,05/02/2026,,,,,,0,0
PSA-001,06/02/2026,10:00.0,31:00.0,10:16.0,31:11.0,5.35,0,0
PSA-001,07/02/2026,,,,,,0,1
PSA-001,08/02/2026,,,,,,0,1
PSA-001,09/02/2026,,,,,,0,0
PSA-001,10/02/2026,,,,,,0,0
PSA-001,11/02/2026,,,,,,0,0
PSA-001,12/02/2026,,,,,,0,0
PSA-001,13/02/2026,33:00.0,46:00.0,33:53.0,46:47.0,8.216666,0,0
PSA-001,14/02/2026,46:00.0,,46:13.0,46:13.0,,0,1
PSA-001,15/02/2026,,,,,,0,1
PSA-001,16/02/2026,51:00.0,44:00.0,51:08.0,44:29.0,8.883333,0,0
PSA-001,17/02/2026,14:00.0,56:00.0,14:05.0,56:54.0,7.7,0,0
PSA-001,18/02/2026,01:00.0,30:00.0,01:48.0,30:59.0,9.483333,0,0
PSA-001,19/02/2026,19:00.0,59:00.0,19:56.0,59:10.0,2.666666,0,0
PSA-001,20/02/2026,33:00.0,43:00.0,33:26.0,43:53.0,8.166666,0,0
PSA-001,21/02/2026,,,,,,0,1
PSA-001,22/02/2026,,,,,,0,1
PSA-001,23/02/2026,50:00.0,02:00.0,50:38.0,02:50.0,6.2,0,0
PSA-001,24/02/2026,,,,,,0,0
PSA-001,25/02/2026,22:00.0,12:00.0,22:33.0,12:08.0,9.833333,0,0
PSA-001,26/02/2026,08:00.0,47:00.0,08:49.0,47:42.0,9.65,0,0
PSA-001,27/02/2026,,,,,,0,0
PSA-001,28/02/2026,,,,,,0,1
PSA-001,01/03/2026,,,,,,0,1
PSA-001,02/03/2026,08:00.0,17:00.0,08:42.0,17:56.0,8.15,0,0
PSA-001,03/03/2026,02:00.0,07:00.0,,,9.083333,0,0
PSA-001,04/03/2026,,,,,,1,0
PSA-001,05/03/2026,58:00.0,28:00.0,58:09.0,28:47.0,4.5,0,0
PSA-001,06/03/2026,18:00.0,33:00.0,18:08.0,33:55.0,9.25,0,0
PSA-001,07/03/2026,,,,,,0,1
PSA-001,08/03/2026,,,,,,0,1
PSA-001,09/03/2026,,,,,,0,0
PSA-001,10/03/2026,,,,,,0,0
PSA-001,11/03/2026,53:00.0,51:00.0,53:38.0,51:35.0,9.966666,0,0
PSA-001,12/03/2026,,,,,,0,0
PSA-001,13/03/2026,,,,,,0,0
PSA-001,14/03/2026,,,,,,0,1
PSA-001,15/03/2026,,,,,,0,1
PSA-001,16/03/2026,43:00.0,48:00.0,43:13.0,48:16.0,9.083333,0,0
PSA-001,17/03/2026,13:00.0,24:00.0,13:36.0,24:57.0,7.183333,0,0
PSA-001,18/03/2026,44:00.0,02:00.0,44:53.0,02:43.0,5.3,0,0
PSA-001,19/03/2026,,,,,,0,0
PSA-001,20/03/2026,,,,,,1,0
PSA-001,21/03/2026,,,,,,0,1
PSA-001,22/03/2026,,,,,,0,1
PSA-001,23/03/2026,17:00.0,56:00.0,17:05.0,56:12.0,9.65,0,0
PSA-001,24/03/2026,57:00.0,54:00.0,57:00.0,24:02.0,6.95,0,0
PSA-001,25/03/2026,27:00.0,03:00.0,27:32.0,03:37.0,8.6,0,0
PSA-002,01/10/2025,13:00.0,59:00.0,,,9.766666,0,0
PSA-002,02/10/2025,,,,,,1,0
PSA-002,03/10/2025,34:00.0,02:00.0,34:34.0,02:36.0,10.466666,0,0
PSA-002,04/10/2025,,,,,,0,1
PSA-002,05/10/2025,,,,,,0,1
PSA-002,06/10/2025,,,,,,0,0
PSA-002,07/10/2025,53:00.0,59:00.0,53:34.0,59:52.0,12.1,0,0
PSA-002,08/10/2025,34:00.0,50:00.0,34:08.0,50:11.0,9.266666,0,0
PSA-002,09/10/2025,00:00.0,00:00.0,,,9,0,0
PSA-002,10/10/2025,24:00.0,00:00.0,,,9.6,0,0
PSA-002,11/10/2025,,,,,,0,1
PSA-002,12/10/2025,,,,,,0,1
PSA-002,13/10/2025,11:00.0,47:00.0,11:32.0,47:21.0,12.6,0,0
PSA-002,14/10/2025,35:00.0,59:00.0,35:59.0,59:18.0,10.4,0,0
PSA-002,15/10/2025,23:00.0,35:00.0,23:01.0,35:47.0,9.2,0,0
PSA-002,16/10/2025,54:00.0,18:00.0,54:33.0,18:35.0,11.4,0,0
PSA-002,17/10/2025,00:00.0,00:00.0,,,11,0,0
PSA-002,18/10/2025,,,,,,0,1
PSA-002,19/10/2025,,,,,,0,1
PSA-002,20/10/2025,,,,,,1,0
PSA-002,21/10/2025,51:00.0,38:00.0,51:29.0,38:57.0,10.783333,0,0
PSA-002,22/10/2025,28:00.0,58:00.0,11:03.0,58:33.0,9.5,0,0
PSA-002,23/10/2025,22:00.0,56:00.0,22:14.0,56:56.0,13.566666,0,0
PSA-002,24/10/2025,48:00.0,38:00.0,48:27.0,38:19.0,9.833333,0,0
PSA-002,25/10/2025,,,,,,0,1
PSA-002,26/10/2025,,,,,,0,1
PSA-002,27/10/2025,05:00.0,07:00.0,16:09.0,07:07.0,16.033333,0,0
PSA-002,28/10/2025,26:00.0,03:00.0,59:13.0,03:57.0,11.616666,0,0
PSA-002,29/10/2025,10:00.0,26:00.0,24:48.0,26:37.0,11.266666,0,0
PSA-002,30/10/2025,53:00.0,53:00.0,53:38.0,53:07.0,10,0,0
PSA-002,31/10/2025,,,,,,0,0
PSA-002,01/11/2025,,,,,,0,1
PSA-002,02/11/2025,,,,,,0,1
PSA-002,03/11/2025,02:00.0,03:00.0,02:04.0,03:55.0,12.016666,0,0
PSA-002,04/11/2025,20:00.0,37:00.0,,,11.283333,0,0
PSA-002,05/11/2025,,,,,,1,0
PSA-002,06/11/2025,45:00.0,32:00.0,45:29.0,32:20.0,11.783333,0,0
PSA-002,07/11/2025,58:00.0,07:00.0,58:47.0,07:30.0,10.15,0,0
PSA-002,08/11/2025,43:00.0,50:00.0,43:08.0,50:36.0,0.116666,0,1
PSA-002,09/11/2025,,,,,,0,1
PSA-002,10/11/2025,24:00.0,05:00.0,24:14.0,05:09.0,10.683333,0,0
PSA-002,11/11/2025,00:00.0,00:00.0,,,11,0,0
PSA-002,12/11/2025,,,,,,0,0
PSA-002,13/11/2025,,,,,,0,0
PSA-002,14/11/2025,,,,,,0,0
PSA-002,15/11/2025,,,,,,0,1
PSA-002,16/11/2025,,,,,,0,1
PSA-002,17/11/2025,,,,,,0,0
PSA-002,18/11/2025,,,,,,0,0
PSA-002,19/11/2025,,,,,,0,0
PSA-002,20/11/2025,,,,,,0,0
PSA-002,21/11/2025,,,,,,0,0
PSA-002,22/11/2025,,,,,,0,1
PSA-002,23/11/2025,,,,,,0,1
PSA-002,24/11/2025,,,,,,0,0
PSA-002,25/11/2025,,,,,,0,0
PSA-002,26/11/2025,,,,,,0,0
PSA-002,27/11/2025,,,,,,0,0
PSA-002,28/11/2025,,,,,,0,0
PSA-002,29/11/2025,,,,,,0,1
PSA-002,30/11/2025,,,,,,0,1
PSA-002,01/12/2025,15:00.0,01:00.0,15:00.0,01:50.0,12.766666,0,0
PSA-002,02/12/2025,54:00.0,13:00.0,54:07.0,13:15.0,10.316666,0,0
PSA-002,03/12/2025,08:00.0,53:00.0,08:14.0,53:48.0,10.75,0,0
PSA-002,04/12/2025,11:00.0,12:00.0,11:43.0,12:14.0,12.016666,0,0
PSA-002,05/12/2025,14:00.0,15:00.0,,,9.016666,0,0
PSA-002,06/12/2025,,,,,,0,1
PSA-002,07/12/2025,,,,,,0,1
PSA-002,08/12/2025,34:00.0,40:00.0,34:11.0,40:06.0,12.1,0,0
PSA-002,09/12/2025,24:00.0,22:00.0,,,9.966666,0,0
PSA-002,10/12/2025,11:00.0,37:00.0,11:25.0,37:36.0,9.433333,0,0
PSA-002,11/12/2025,08:00.0,11:00.0,08:47.0,11:15.0,12.05,0,0
PSA-002,12/12/2025,44:00.0,42:00.0,44:34.0,42:34.0,9.966666,0,0
PSA-002,13/12/2025,,,,,,0,1
PSA-002,14/12/2025,,,,,,0,1
PSA-002,15/12/2025,,,,,,0,0
PSA-002,16/12/2025,,,,,,0,0
PSA-002,17/12/2025,,,,,,0,0
PSA-002,18/12/2025,,,,,,0,0
PSA-002,19/12/2025,,,,,,0,0
PSA-002,20/12/2025,,,,,,0,1
PSA-002,21/12/2025,,,,,,0,1
PSA-002,22/12/2025,01:00.0,18:00.0,,,9.283333,0,0
PSA-002,23/12/2025,30:00.0,18:00.0,,,9.8,0,0
PSA-002,24/12/2025,,,,,,0,0
PSA-002,25/12/2025,,,,,,1,0
PSA-002,26/12/2025,,,,,,0,0
PSA-002,27/12/2025,,,,,,0,1
PSA-002,28/12/2025,,,,,,0,1
PSA-002,29/12/2025,08:00.0,09:00.0,,,9.016666,0,0
PSA-002,30/12/2025,50:00.0,06:00.0,,,9.266666,0,0
PSA-002,31/12/2025,50:00.0,09:00.0,,,9.316666,0,0
PSA-002,01/01/2026,,,,,,1,0
PSA-002,02/01/2026,05:00.0,18:00.0,,,9.216666,0,0
PSA-002,03/01/2026,,,,,,0,1
PSA-002,04/01/2026,,,,,,0,1
PSA-002,05/01/2026,38:00.0,59:00.0,,,9.35,0,0
PSA-002,06/01/2026,08:00.0,31:00.0,32:39.0,31:39.0,10.383333,0,0
